episodes,Average Reward
10,-1.6
20,-1.5
30,-1.4666666666666666
40,-1.475
50,-1.44
60,-1.4166666666666667
70,-1.3857142857142857
80,-1.3375
90,-1.3222222222222222
100,-1.29
110,-1.24
120,-1.25
130,-1.25
140,-1.2
150,-1.17
160,-1.17
170,-1.19
180,-1.2
190,-1.22
200,-1.23
210,-1.24
220,-1.2
230,-1.17
240,-1.19
250,-1.2
260,-1.19
270,-1.16
280,-1.1
290,-1.07
300,-1.09
310,-1.07
320,-1.08
330,-1.06
340,-1.08
350,-1.08
360,-1.06
370,-1.09
380,-1.11
390,-1.11
400,-1.08
410,-1.11
420,-1.13
430,-1.17
440,-1.16
450,-1.18
460,-1.15
470,-1.14
480,-1.2
490,-1.24
500,-1.27
510,-1.26
520,-1.27
530,-1.28
540,-1.25
550,-1.26
560,-1.29
570,-1.26
580,-1.25
590,-1.14
600,-1.13
610,-1.14
620,-1.09
630,-1.07
640,-1.05
650,-1.02
660,-1.03
670,-1.05
680,-1.03
690,-1.09
700,-1.06
710,-1.02
720,-0.99
730,-0.96
740,-0.99
750,-1.0
760,-1.0
770,-1.0
780,-1.04
790,-1.08
800,-1.1
810,-1.13
820,-1.18
830,-1.19
840,-1.16
850,-1.17
860,-1.19
870,-1.19
880,-1.13
890,-1.11
900,-1.07
910,-1.04
920,-1.03
930,-1.02
940,-1.02
950,-1.02
960,-1.03
970,-1.03
980,-1.04
990,-1.03
1000,-1.11
1010,-1.14
1020,-1.15
1030,-1.19
1040,-1.2
1050,-1.17
1060,-1.11
1070,-1.1
1080,-1.13
1090,-1.1
1100,-1.03
1110,-1.02
1120,-1.01
1130,-1.0
1140,-1.04
1150,-1.02
1160,-1.05
1170,-1.08
1180,-1.04
1190,-1.07
1200,-1.09
1210,-1.05
1220,-1.05
1230,-1.0
1240,-1.0
1250,-0.96
1260,-0.91
1270,-0.82
1280,-0.77
1290,-0.75
1300,-0.76
1310,-0.75
1320,-0.7
1330,-0.74
1340,-0.67
1350,-0.71
1360,-0.72
1370,-0.79
1380,-0.84
1390,-0.84
1400,-0.81
1410,-0.91
1420,-0.97
1430,-0.97
1440,-0.99
1450,-1.02
1460,-1.1
1470,-1.13
1480,-1.14
1490,-1.1
1500,-1.01
1510,-0.91
1520,-0.89
1530,-0.86
1540,-0.9
1550,-0.89
1560,-0.84
1570,-0.8
1580,-0.82
1590,-0.89
1600,-1.01
1610,-1.08
1620,-1.1
1630,-1.11
1640,-1.08
1650,-1.07
1660,-1.04
1670,-1.04
1680,-1.05
1690,-1.09
1700,-1.09
1710,-1.06
1720,-1.01
1730,-1.05
1740,-1.01
1750,-1.05
1760,-1.07
1770,-1.0
1780,-0.98
1790,-0.86
1800,-0.83
1810,-0.81
1820,-0.85
1830,-0.8
1840,-0.87
1850,-0.81
1860,-0.84
1870,-0.94
1880,-0.95
1890,-0.96
1900,-0.98
1910,-1.0
1920,-1.02
1930,-0.94
1940,-0.89
1950,-0.91
1960,-0.89
1970,-0.8
1980,-0.77
1990,-0.83
2000,-0.79
2010,-0.73
2020,-0.66
2030,-0.69
2040,-0.55
2050,-0.47
2060,-0.45
2070,-0.43
2080,-0.39
2090,-0.27
2100,-0.27
2110,-0.31
2120,-0.34
2130,-0.32
2140,-0.43
2150,-0.48
2160,-0.44
2170,-0.53
2180,-0.58
2190,-0.63
2200,-0.63
2210,-0.63
2220,-0.62
2230,-0.63
2240,-0.67
2250,-0.64
2260,-0.72
2270,-0.69
2280,-0.67
2290,-0.73
2300,-0.75
2310,-0.7
2320,-0.68
2330,-0.73
2340,-0.7
2350,-0.76
2360,-0.74
2370,-0.7
2380,-0.69
2390,-0.69
2400,-0.7
2410,-0.72
2420,-0.71
2430,-0.7
2440,-0.73
2450,-0.62
2460,-0.58
2470,-0.62
2480,-0.63
2490,-0.48
2500,-0.37
2510,-0.39
2520,-0.42
2530,-0.41
2540,-0.42
2550,-0.46
2560,-0.47
2570,-0.43
2580,-0.48
2590,-0.63
2600,-0.76
2610,-0.79
2620,-0.83
2630,-0.85
2640,-0.87
2650,-1.0
2660,-1.03
2670,-1.04
2680,-1.02
2690,-1.0
2700,-0.96
2710,-0.95
2720,-0.95
2730,-0.98
2740,-0.93
2750,-0.84
2760,-0.85
2770,-0.89
2780,-0.83
2790,-0.73
2800,-0.74
2810,-0.71
2820,-0.66
2830,-0.58
2840,-0.65
2850,-0.71
2860,-0.71
2870,-0.72
2880,-0.77
2890,-0.88
2900,-0.81
2910,-0.8
2920,-0.8
2930,-0.86
2940,-0.85
2950,-0.83
2960,-0.81
2970,-0.79
2980,-0.77
2990,-0.75
3000,-0.75
3010,-0.81
3020,-0.85
3030,-0.79
3040,-0.78
3050,-0.7
3060,-0.68
3070,-0.7
3080,-0.73
3090,-0.75
3100,-0.8
3110,-0.74
3120,-0.69
3130,-0.78
3140,-0.75
3150,-0.83
3160,-0.86
3170,-0.84
3180,-0.81
3190,-0.83
3200,-0.85
3210,-0.83
3220,-0.86
3230,-0.83
3240,-0.8
3250,-0.77
3260,-0.76
3270,-0.77
3280,-0.73
3290,-0.64
3300,-0.63
3310,-0.72
3320,-0.71
3330,-0.71
3340,-0.72
3350,-0.73
3360,-0.69
3370,-0.68
3380,-0.74
3390,-0.82
3400,-0.85
3410,-0.75
3420,-0.77
3430,-0.75
3440,-0.76
3450,-0.75
3460,-0.78
3470,-0.78
3480,-0.76
3490,-0.67
3500,-0.65
3510,-0.65
3520,-0.64
3530,-0.65
3540,-0.66
3550,-0.62
3560,-0.54
3570,-0.51
3580,-0.46
3590,-0.5
3600,-0.51
3610,-0.55
3620,-0.51
3630,-0.49
3640,-0.49
3650,-0.48
3660,-0.54
3670,-0.55
3680,-0.59
3690,-0.63
3700,-0.57
3710,-0.65
3720,-0.68
3730,-0.74
3740,-0.75
3750,-0.83
3760,-0.88
3770,-0.87
3780,-0.9
3790,-0.9
3800,-0.97
3810,-0.94
3820,-0.98
3830,-0.96
3840,-0.96
3850,-0.96
3860,-0.97
3870,-1.04
3880,-1.1
3890,-1.14
3900,-1.16
3910,-1.2
3920,-1.19
3930,-1.21
3940,-1.22
3950,-1.22
3960,-1.21
3970,-1.16
3980,-1.14
3990,-1.11
4000,-1.1
4010,-1.08
4020,-1.07
4030,-1.08
4040,-0.99
4050,-0.95
4060,-0.87
4070,-0.83
4080,-0.79
4090,-0.79
4100,-0.78
4110,-0.79
4120,-0.71
4130,-0.68
4140,-0.75
4150,-0.79
4160,-0.78
4170,-0.82
4180,-0.81
4190,-0.68
4200,-0.62
4210,-0.53
4220,-0.6
4230,-0.53
4240,-0.47
4250,-0.34
4260,-0.34
4270,-0.3
4280,-0.26
4290,-0.33
4300,-0.35
4310,-0.36
4320,-0.35
4330,-0.45
4340,-0.49
4350,-0.63
4360,-0.62
4370,-0.61
4380,-0.62
4390,-0.63
4400,-0.64
4410,-0.58
4420,-0.54
4430,-0.49
4440,-0.49
4450,-0.38
4460,-0.46
4470,-0.54
4480,-0.55
4490,-0.56
4500,-0.55
4510,-0.64
4520,-0.65
4530,-0.61
4540,-0.65
4550,-0.77
4560,-0.76
4570,-0.71
4580,-0.73
4590,-0.72
4600,-0.77
4610,-0.78
4620,-0.82
4630,-0.88
4640,-0.88
4650,-0.86
4660,-0.9
4670,-0.93
4680,-0.85
4690,-0.89
4700,-0.86
4710,-0.8
4720,-0.83
4730,-0.83
4740,-0.78
4750,-0.75
4760,-0.73
4770,-0.71
4780,-0.76
4790,-0.76
4800,-0.69
4810,-0.71
4820,-0.57
4830,-0.56
4840,-0.6
4850,-0.61
4860,-0.56
4870,-0.5
4880,-0.52
4890,-0.44
4900,-0.5
4910,-0.52
4920,-0.64
4930,-0.59
4940,-0.57
4950,-0.6
4960,-0.66
4970,-0.76
4980,-0.79
4990,-0.9
5000,-0.96
5010,-0.96
5020,-0.98
5030,-1.04
5040,-1.05
5050,-1.03
5060,-1.03
5070,-1.01
5080,-1.0
5090,-0.93
5100,-0.9
5110,-0.81
5120,-0.78
5130,-0.75
5140,-0.73
5150,-0.68
5160,-0.64
5170,-0.64
5180,-0.63
5190,-0.64
5200,-0.59
5210,-0.7
5220,-0.65
5230,-0.69
5240,-0.71
5250,-0.72
5260,-0.73
5270,-0.66
5280,-0.62
5290,-0.57
5300,-0.6
5310,-0.55
5320,-0.56
5330,-0.51
5340,-0.49
5350,-0.53
5360,-0.55
5370,-0.62
5380,-0.67
5390,-0.75
5400,-0.78
5410,-0.85
5420,-0.84
5430,-0.85
5440,-0.84
5450,-0.85
5460,-0.83
5470,-0.86
5480,-0.89
5490,-0.85
5500,-0.8
5510,-0.78
5520,-0.8
5530,-0.82
5540,-0.82
5550,-0.79
5560,-0.79
5570,-0.77
5580,-0.75
5590,-0.74
5600,-0.78
5610,-0.71
5620,-0.68
5630,-0.7
5640,-0.68
5650,-0.68
5660,-0.65
5670,-0.64
5680,-0.59
5690,-0.62
5700,-0.56
5710,-0.6
5720,-0.63
5730,-0.58
5740,-0.52
5750,-0.55
5760,-0.52
5770,-0.51
5780,-0.57
5790,-0.58
5800,-0.66
5810,-0.68
5820,-0.74
5830,-0.8
5840,-0.93
5850,-0.9
5860,-0.99
5870,-1.0
5880,-0.98
5890,-0.98
5900,-0.97
5910,-0.93
5920,-0.87
5930,-0.8
5940,-0.77
5950,-0.77
5960,-0.72
5970,-0.71
5980,-0.64
5990,-0.58
6000,-0.53
6010,-0.57
6020,-0.62
6030,-0.69
6040,-0.72
6050,-0.74
6060,-0.78
6070,-0.74
6080,-0.8
6090,-0.87
6100,-0.9
6110,-0.92
6120,-0.89
6130,-0.88
6140,-0.87
6150,-0.85
6160,-0.86
6170,-0.95
6180,-0.94
6190,-0.93
6200,-0.83
6210,-0.85
6220,-0.83
6230,-0.82
6240,-0.79
6250,-0.8
6260,-0.78
6270,-0.64
6280,-0.63
6290,-0.64
6300,-0.74
6310,-0.67
6320,-0.65
6330,-0.65
6340,-0.71
6350,-0.76
6360,-0.79
6370,-0.93
6380,-0.99
6390,-1.0
6400,-1.01
6410,-1.04
6420,-1.12
6430,-1.11
6440,-1.04
6450,-0.98
6460,-0.95
6470,-0.92
6480,-0.9
6490,-0.84
6500,-0.86
6510,-0.9
6520,-0.89
6530,-0.93
6540,-0.97
6550,-0.98
6560,-0.98
6570,-0.95
6580,-0.95
6590,-0.94
6600,-0.91
6610,-0.85
6620,-0.87
6630,-0.83
6640,-0.88
6650,-0.87
6660,-0.83
6670,-0.83
6680,-0.76
6690,-0.84
6700,-0.86
6710,-0.87
6720,-0.83
6730,-0.84
6740,-0.81
6750,-0.83
6760,-0.86
6770,-0.91
6780,-1.02
6790,-1.01
6800,-0.95
6810,-0.98
6820,-0.96
6830,-0.92
6840,-0.85
6850,-0.85
6860,-0.84
6870,-0.84
6880,-0.79
6890,-0.78
6900,-0.82
6910,-0.78
6920,-0.8
6930,-0.82
6940,-0.89
6950,-0.84
6960,-0.89
6970,-0.82
6980,-0.76
6990,-0.73
7000,-0.74
7010,-0.63
7020,-0.59
7030,-0.59
7040,-0.51
7050,-0.53
7060,-0.48
7070,-0.4
7080,-0.36
7090,-0.35
7100,-0.3
7110,-0.4
7120,-0.45
7130,-0.47
7140,-0.52
7150,-0.53
7160,-0.5
7170,-0.55
7180,-0.67
7190,-0.73
7200,-0.76
7210,-0.78
7220,-0.75
7230,-0.77
7240,-0.78
7250,-0.79
7260,-0.87
7270,-0.98
7280,-0.9
7290,-0.88
7300,-0.89
7310,-0.89
7320,-0.88
7330,-0.86
7340,-0.86
7350,-0.89
7360,-0.85
7370,-0.83
7380,-0.88
7390,-0.87
7400,-0.88
7410,-0.85
7420,-0.87
7430,-0.85
7440,-0.86
7450,-0.82
7460,-0.78
7470,-0.77
7480,-0.8
7490,-0.82
7500,-0.83
7510,-0.87
7520,-0.9
7530,-0.95
7540,-0.95
7550,-0.93
7560,-0.98
7570,-0.9
7580,-0.89
7590,-0.89
7600,-0.87
7610,-0.73
7620,-0.71
7630,-0.67
7640,-0.64
7650,-0.68
7660,-0.68
7670,-0.71
7680,-0.71
7690,-0.66
7700,-0.65
7710,-0.78
7720,-0.75
7730,-0.75
7740,-0.73
7750,-0.71
7760,-0.7
7770,-0.72
7780,-0.72
7790,-0.77
7800,-0.77
7810,-0.74
7820,-0.78
7830,-0.82
7840,-0.89
7850,-0.88
7860,-0.84
7870,-0.8
7880,-0.74
7890,-0.69
7900,-0.67
7910,-0.7
7920,-0.68
7930,-0.62
7940,-0.56
7950,-0.61
7960,-0.6
7970,-0.69
7980,-0.66
7990,-0.7
8000,-0.76
8010,-0.7
8020,-0.7
8030,-0.72
8040,-0.74
8050,-0.7
8060,-0.72
8070,-0.6
8080,-0.58
8090,-0.57
8100,-0.48
8110,-0.51
8120,-0.46
8130,-0.39
8140,-0.37
8150,-0.41
8160,-0.36
8170,-0.45
8180,-0.57
8190,-0.57
8200,-0.64
8210,-0.64
8220,-0.68
8230,-0.77
8240,-0.8
8250,-0.78
8260,-0.86
8270,-0.86
8280,-0.84
8290,-0.83
8300,-0.81
8310,-0.86
8320,-0.91
8330,-0.92
8340,-0.97
8350,-1.0
8360,-1.04
8370,-1.02
8380,-1.03
8390,-1.08
8400,-1.09
8410,-1.09
8420,-0.99
8430,-0.97
8440,-0.87
8450,-0.82
8460,-0.75
8470,-0.71
8480,-0.71
8490,-0.61
8500,-0.62
8510,-0.59
8520,-0.58
8530,-0.58
8540,-0.49
8550,-0.5
8560,-0.48
8570,-0.53
8580,-0.47
8590,-0.51
8600,-0.49
